Year,Latitude,Line,Line Group (Path ID),Longitude,Point Order,Station,Traffic
2013,48.827675689,13,13,2.305340149,21,Porte de Vanves,4464578
2013,48.851863215,13,13,2.314034527,15,Saint-Francois-Xavier,1837976
2013,48.875577869,13,13,2.326185659,10,Saint-Lazare,44939493
2013,48.857516601,13,13,2.315530234,14,Varenne,1538258
2013,48.93660331,13 FOURCHE,13,2.359414718,8,Basilique de Saint-Denis,5393138
2013,48.91945521,13 FOURCHE,13,2.343200249,6,Carrefour-Pleyel,2829368
2013,48.90603162,13 FOURCHE,13,2.331733276,4,Garibaldi,3127029
2013,48.892467516,13 FOURCHE,13,2.327226755,2,Guy-Môquet,4660620
2013,48.887391896,13 FOURCHE,13,2.326038677,1,La Fourche,2904781
2013,48.912062016,13 FOURCHE,13,2.334163015,5,Mairie de Saint-Ouen,3716189
2013,48.897251052,13 FOURCHE,13,2.32883767,3,Porte de Saint-Ouen,3762943
2013,48.92962761,13 FOURCHE,13,2.357410164,7,Saint-Denis-Porte de Paris,2983942
2013,48.945625481,13 FOURCHE,13,2.362358758,9,Saint-Denis-Universite,5357667
2013,48.840428089,14,14,2.379582969,6,Bercy,5473870
2013,48.829605973,14,14,2.376092612,8,Bibliotheque-Francois Mitterrand,15472531
2013,48.858519522,14,14,2.347119401,4,Châtelet,13929657
2013,48.833484307,14,14,2.387612988,7,Cour Saint-Emilion,5857110
2013,48.844704545,14,14,2.374065908,5,Gare de Lyon,34895701
2013,48.870064352,14,14,2.3251637,2,Madeleine,7475264
2013,48.8268583,14,14,2.367297012,9,Olympiades,6886845
2013,48.866946302,14,14,2.333665066,3,Pyramides,5172054
2013,48.875577869,14,14,2.326185659,1,Saint-Lazare,44939493
2013,48.856174449,2,2,2.394989816,23,Alexandre-Dumas,3919412
2013,48.88313229,2,2,2.343972825,12,Anvers,6888848
2013,48.850978211,2,2,2.39798013,24,Avron,1907820
2013,48.883620732,2,2,2.349737194,13,Barbès-Rochechouart,8392009
2013,48.872041604,2,2,2.376805608,18,Belleville,11558246
2013,48.883653609,2,2,2.331667523,10,Blanche,4251153
2013,48.874407604,2,2,2.295762684,3,Charles de Gaulle-Etoile,9067635
2013,48.877942292,2,2,2.370147138,17,Colonel Fabien,4808282
2013,48.879236249,2,2,2.303605153,5,Courcelles,2650620
2013,48.868969876,2,2,2.379868519,19,Couronnes,3034396
2013,48.882543746,2,2,2.370231819,16,Jaurès,4992926
2013,48.883966399,2,2,2.358499626,14,La Chapelle,6503089
2013,48.865948811,2,2,2.383394279,20,Ménilmontant,4316980
2013,48.880630668,2,2,2.308966242,6,Monceau,1654418
2013,48.848465751,2,2,2.395905744,25,Nation,9541406
