Basin,Date,Latitude,Longitude,Number of Records,Pressure (mb),Storm Name,Wind speed (kt)
West Pacific,6/18/2012 9:00:00 AM,24.6,128.2,1,950,GUCHOL,80
West Pacific,6/18/2012 12:00:00 PM,25.3,128.7,1,950,GUCHOL,80
West Pacific,6/18/2012 12:00:00 PM,19.2,113.4,1,992,TALIM,40
West Pacific,6/18/2012 3:00:00 PM,26.2,129.4,1,950,GUCHOL,80
West Pacific,6/18/2012 6:00:00 PM,27.3,130,1,955,GUCHOL,75
West Pacific,6/18/2012 6:00:00 PM,19.3,114.1,1,992,TALIM,40
West Pacific,6/18/2012 9:00:00 PM,28.6,130.9,1,955,GUCHOL,75
West Pacific,6/19/2012 12:00:00 AM,29.9,131.8,1,960,GUCHOL,70
West Pacific,6/19/2012 12:00:00 AM,19.6,114.9,1,990,TALIM,45
West Pacific,6/19/2012 3:00:00 AM,30.8,133.1,1,960,GUCHOL,70
West Pacific,6/19/2012 6:00:00 AM,32.4,134.7,1,960,GUCHOL,70
West Pacific,6/19/2012 6:00:00 AM,20,115.6,1,985,TALIM,50
West Pacific,6/19/2012 8:00:00 AM,33.4,135.5,1,960,GUCHOL,70
West Pacific,6/19/2012 9:00:00 AM,33.8,135.9,1,965,GUCHOL,70
West Pacific,6/19/2012 11:00:00 AM,34.7,137,1,970,GUCHOL,65
West Pacific,6/19/2012 12:00:00 PM,35.1,137.6,1,975,GUCHOL,60
West Pacific,6/19/2012 12:00:00 PM,20.8,116.4,1,985,TALIM,50
West Pacific,6/19/2012 3:00:00 PM,36.2,139,1,980,GUCHOL,55
West Pacific,6/19/2012 6:00:00 PM,37.3,140.7,1,985,GUCHOL,50
West Pacific,6/19/2012 6:00:00 PM,21.8,116.8,1,985,TALIM,50
West Pacific,6/19/2012 9:00:00 PM,37.9,142,1,985,GUCHOL,50
West Pacific,6/20/2012 12:00:00 AM,38,143,1,996,GUCHOL,0
West Pacific,6/20/2012 12:00:00 AM,22.7,117.8,1,990,TALIM,45
West Pacific,6/20/2012 6:00:00 AM,39.5,144.2,1,998,GUCHOL,0
West Pacific,6/20/2012 6:00:00 AM,23.5,118.9,1,992,TALIM,40
West Pacific,6/20/2012 12:00:00 PM,40.2,145.4,1,1000,GUCHOL,0
West Pacific,6/20/2012 12:00:00 PM,24.2,120.2,1,994,TALIM,35
West Pacific,6/20/2012 6:00:00 PM,40.9,145.4,1,1000,GUCHOL,0
West Pacific,6/20/2012 6:00:00 PM,24.7,121.4,1,1000,TALIM,0
West Pacific,6/21/2012 12:00:00 AM,41.5,145.7,1,1004,GUCHOL,0
West Pacific,6/21/2012 6:00:00 AM,42,146,1,1006,GUCHOL,0
West Pacific,6/21/2012 12:00:00 PM,42.2,146.2,1,1008,GUCHOL,0
West Pacific,6/21/2012 6:00:00 PM,42.3,146.4,1,1006,GUCHOL,0
West Pacific,6/22/2012 12:00:00 AM,42.4,146.7,1,1008,GUCHOL,0
West Pacific,6/22/2012 6:00:00 AM,42.7,146.9,1,1006,GUCHOL,0
West Pacific,6/25/2012 12:00:00 AM,11.2,135.3,1,1008,DOKSURI,0
West Pacific,6/25/2012 6:00:00 AM,11.5,134.3,1,1006,DOKSURI,0
West Pacific,6/25/2012 12:00:00 PM,12.3,134,1,1006,DOKSURI,0
West Pacific,6/25/2012 6:00:00 PM,13.3,133.6,1,1004,DOKSURI,0
West Pacific,6/26/2012 12:00:00 AM,14.2,133,1,1006,DOKSURI,0
West Pacific,6/26/2012 6:00:00 AM,14.5,131.8,1,1004,DOKSURI,0
West Pacific,6/26/2012 12:00:00 PM,15.1,130.4,1,1004,DOKSURI,0
West Pacific,6/26/2012 6:00:00 PM,15.3,128.9,1,1000,DOKSURI,35
West Pacific,6/27/2012 12:00:00 AM,15.4,127.7,1,1000,DOKSURI,35
West Pacific,6/27/2012 6:00:00 AM,15.7,126.4,1,1000,DOKSURI,35
West Pacific,6/27/2012 12:00:00 PM,16.2,125.1,1,1000,DOKSURI,35
West Pacific,6/27/2012 6:00:00 PM,16.9,123.9,1,1000,DOKSURI,35
West Pacific,6/28/2012 12:00:00 AM,18,123.4,1,998,DOKSURI,35
West Pacific,6/28/2012 6:00:00 AM,19.5,123.1,1,994,DOKSURI,40
West Pacific,6/28/2012 12:00:00 PM,19.8,121.1,1,994,DOKSURI,40
West Pacific,6/28/2012 6:00:00 PM,20,119.5,1,994,DOKSURI,40
West Pacific,6/29/2012 12:00:00 AM,20.8,117.7,1,992,DOKSURI,40
West Pacific,6/29/2012 6:00:00 AM,21,116,1,992,DOKSURI,40
West Pacific,6/29/2012 12:00:00 PM,21.2,114.9,1,994,DOKSURI,40
West Pacific,6/29/2012 6:00:00 PM,21.8,113.6,1,996,DOKSURI,35
West Pacific,6/30/2012 12:00:00 AM,22.3,112,1,1000,DOKSURI,0
West Pacific,6/30/2012 6:00:00 AM,22.9,110.2,1,1000,DOKSURI,0
West Pacific,7/14/2012 6:00:00 PM,19.3,143.5,1,1006,KHANUN,0
West Pacific,7/15/2012 12:00:00 AM,19.1,143.1,1,1008,KHANUN,0
West Pacific,7/15/2012 6:00:00 AM,19.8,143,1,1006,KHANUN,0
West Pacific,7/15/2012 12:00:00 PM,20.4,140.7,1,1006,KHANUN,0
West Pacific,7/15/2012 6:00:00 PM,21.7,140,1,1006,KHANUN,0
West Pacific,7/16/2012 12:00:00 AM,22.6,138,1,1004,KHANUN,0
West Pacific,7/16/2012 6:00:00 AM,24.1,136.2,1,1002,KHANUN,35
West Pacific,7/16/2012 12:00:00 PM,24.8,134.6,1,1002,KHANUN,35
West Pacific,7/16/2012 3:00:00 PM,25.3,133.8,1,1000,KHANUN,35
West Pacific,7/16/2012 6:00:00 PM,25.6,132.8,1,998,KHANUN,40
West Pacific,7/16/2012 9:00:00 PM,25.7,132.1,1,996,KHANUN,40
West Pacific,7/17/2012 12:00:00 AM,26.1,131.1,1,994,KHANUN,40
West Pacific,7/17/2012 3:00:00 AM,26.3,130.4,1,994,KHANUN,45
West Pacific,7/17/2012 6:00:00 AM,26.8,129.6,1,992,KHANUN,45
West Pacific,7/17/2012 9:00:00 AM,27.3,129.1,1,990,KHANUN,45
